"keyword","source","title","link","snippet","posted","posted_date","epiyear","epiweek"
"新型コロナ","Google RSS","新型コロナ 宮崎県内の感染者数が前週の約2倍に 手洗い・うがいや咳エチケットの徹底を - TBS NEWS DIG","https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9wYnFLSnoxV1lLdzhtVU1fSU1ROWkzUmx5R1lrSzIxM21PdHpkVEtrUXpDT2dnY0cxOEd0X1Z3ZE5PMWJxY1dBODBSM0JwTmZEUzQtbk0yRWJyN1RGdkM0am5xNlZGUk0?oc=5","新型コロナ 宮崎県内の感染者数が前週の約2倍に 手洗い・うがいや咳エチケットの徹底を,"Thu, 24 Jul 2025 10:16:00 GMT",2025-07-24,2025,30
"新型コロナ","Google RSS","（３８）新型コロナと球団のパズル - 熊本日日新聞社","https://news.google.com/rss/articles/CBMiT0FVX3lxTFBDR1ZGbURhNVR5dGFSQTU4WUNKdVBEbWdBNzVnT0tmdjlaQ1hyQ0taQ3BxMlYwbjlTdjB3XzVYaV9DdDhCX3poVFp6OE1MQU0?oc=5","（３８）新型コロナと球団のパズル,"Sun, 27 Jul 2025 20:19:36 GMT",2025-07-27,2025,30
"新型コロナ","Google RSS","【新型コロナ速報】千葉県内、感染者1・32倍に 7月14～20日 1医療機関当たり4・87人（千葉日報オンライン） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTFAzZVQyZkdYQm15dWNvUTEwX0dNZWNGbUkwcVhrWjdCY3BaNklhZEIwZjN6cWNIdk9NNEZEU0Y5bzVsdzdXWmphS0xvcnlfN1FTNHR3MnNlTzRuTTEzeDMxR0Q3b21UUWF0Y1ZkMmtybnVSMjJTdi12Sjk1YXZMeXM?oc=5","【新型コロナ速報】千葉県内、感染者1・32倍に 7月14～20日 1医療機関当たり4・87人（千葉日報オンライン）,"Wed, 23 Jul 2025 07:00:00 GMT",2025-07-23,2025,30
"新型コロナ","Google RSS","新型コロナ 新規感染者が4週連続増加「換気や手指消毒の徹底を」 百日ぜきは高止まり続く 鹿児島県内 - 南日本新聞","https://news.google.com/rss/articles/CBMiWEFVX3lxTE9hd1F3SDd5cklaak9hRTJWNmhWeEJCX0toM1VsZWEwLXNGeGdzb3laSl9OZ0tXZW5pekQ0bGZvb1ZhUVU0dmozajZXZnpiYWJyYm9NV1pZa2o?oc=5","新型コロナ 新規感染者が4週連続増加「換気や手指消毒の徹底を」 百日ぜきは高止まり続く 鹿児島県内,"Thu, 24 Jul 2025 10:26:00 GMT",2025-07-24,2025,30
"新型コロナ","Google RSS","新型コロナ 定点当たり感染者5．29人 ／佐賀 - 毎日新聞","https://news.google.com/rss/articles/CBMiaEFVX3lxTE5ZWjlNWW5jeHdaU1JacFd1ZENCN0FibDcwX1d3UWNsRTRkbWZVUHkySFdEdVYwZEpUSXgtMm4zRldEMkhhTmtwUUJPekhuTWlxRHpBTXFSWG1tend6Yi1QSjdWOWxIOTZO?oc=5","新型コロナ 定点当たり感染者5．29人 ／佐賀,"Thu, 24 Jul 2025 20:05:18 GMT",2025-07-24,2025,30
"新型コロナ","Google RSS","新型コロナ前週から微増 “リンゴ病”も再増加…過去10年で最多の患者数 秋田 - 日テレNEWS NNN","https://news.google.com/rss/articles/CBMigwFBVV95cUxNWS1tZ1luX1BUNXpLZWxEMkZvWmpRcDRJdUJYRWR1QjVMbTIyMlY5ZTlTbnpyMWxlbFpkRXQ4YWNZNnAzU1BpYkRPNDlHMXVpOFc1NWE5SFZnRUwwUlN3U2NGX3VPeXRDcnoxWlZ2ME1PdEM4UnJfbUFoS2ROaTdNZi02SQ?oc=5","新型コロナ前週から微増 “リンゴ病”も再増加…過去10年で最多の患者数 秋田,"Thu, 24 Jul 2025 08:52:01 GMT",2025-07-24,2025,30
"RSウイルス","Google RSS","RSウイルス感染症の流行状況 - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMidEFVX3lxTE15anh4LTVrTmNFdTVKMDR0bERFUGRwV05qYks3TXpsc2tyNzBqUFJhbTFYeHlsVG5QSFNIM21vcHdaUjhjQlhOZFJvSWNGb3Y0OTRvMXVmYThOV0Jlbzd0c0p1OHNreEVaYjBPQS1kTkZtLVZO?oc=5","RSウイルス感染症の流行状況,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"RSウイルス","Google RSS","RSウイルスワクチン「アレックスビー」 米FDAが重症化リスクの高い成人接種対象者拡大承認申請受理 GSK - 医薬通信社","https://news.google.com/rss/articles/CBMi1AJBVV95cUxQeTh5ZWNmVndieGpmQmlJTkVEYy0zR0lKWDV1TXBnQkREdXNIaWsxamdJYnB0OE50NnZYRVlPd1NFTmdCc0U3T21RNE5ReE5UUFFEQ3pWck5YeTMxa1AtYVp2TlZhWC1wT2wzWFNsMUxqenNVRWRQazNPOGtlX0lNVlNNOVhDNXdsaFlpQ2JmX1ktd3pJNm8xU2N1dFp6Z3JwMTFqeVBWREhrVkhOSFZhM1lqVHlxUEg3X0VJM1BZYWlJZ3NLOEdLWEVzU2g1Nk5QV19aNDdfSkVqUURHTTVpdGVhQlp1S1dtVXRDVkZYLXJYUDhOejRRcmRxYUlnV1BGenZjaUl6WDMtdFZxQUdObnptMjcwc2kwME55cS1JQVJ3OVc3ZWQ4cklVTW9nNUdJVDdhTl9QWjhDcVc2V1ZQa2lQYndLTzRkX1IzU0V0eWhtVGV2?oc=5","RSウイルスワクチン「アレックスビー」 米FDAが重症化リスクの高い成人接種対象者拡大承認申請受理 GSK,"Wed, 23 Jul 2025 06:14:27 GMT",2025-07-23,2025,30
"RSウイルス","Google RSS","GSKのRSウイルスワクチン「Arexvy（アレックスビー）」、RSウイルスによる感染症が重症化するリスクが高い18～49歳の成人への接種対象者拡大の承認申請について米国FDAが受理 - 日経バイオテクONLINE","https://news.google.com/rss/articles/CBMiZkFVX3lxTE1UbTlxYnNNOWNFdGROU0Rjb3FVZHRSMHUyeUNTSldSNXZ5c1BIUTRxSVJKOWwtcXBoZVNBaEh6SGVlaHBRUXB1VXZTMVBZdmZyYTFuZERKam9qYmRRZi1waWFudTQ2Zw?oc=5","GSKのRSウイルスワクチン「Arexvy（アレックスビー）」、RSウイルスによる感染症が重症化するリスクが高い18～49歳の成人への接種対象者拡大の承認申請について米国FDAが受理,"Wed, 23 Jul 2025 10:45:49 GMT",2025-07-23,2025,30
"RSウイルス","Google RSS","【写真】ほとんどの赤ちゃんが一度は感染…RSウイルスの予防ワクチンに一部助成 日置市が県内初 - 南日本新聞","https://news.google.com/rss/articles/CBMiV0FVX3lxTE5vLXo2SGQ1ZGtRQ0dkd1ZQQnBWM1VLWWNJSDh6Z1N2UEZHYTNCeWNXU0s1SmQ2enU0bG5WUnRfLW94bTZuQ3JyWkZ5TFNfQ05wdEF0dEFDNA?oc=5","【写真】ほとんどの赤ちゃんが一度は感染…RSウイルスの予防ワクチンに一部助成 日置市が県内初,"Wed, 23 Jul 2025 11:15:00 GMT",2025-07-23,2025,30
